Pt,Total_Rate_wRIS,Total_Rate_woRIS,Spectral_Efficiency_wRIS,Spectral_Efficiency_woRIS,Energy_Efficiency_wRIS,Energy_Efficiency_woRIS
-45.0,0.04935215362148373,0.017191299368410053,0.04935215362148373,0.017191299368410053,780326.06439208,271818.3097099494
-44.177215189873415,0.0591603313106891,0.02070710376535676,0.0591603313106891,0.02070710376535676,773966.4242697727,270901.171497676
-43.35443037974684,0.07081080260352433,0.024925479828463687,0.07081080260352433,0.024925479828463687,766500.7060371645,269809.08539909165
-42.53164556962025,0.08460747800014562,0.029979848400575278,0.08460747800014562,0.02997984840057528,757780.3004321695,268512.18195937393
-41.70886075949367,0.10088891377351376,0.03602612037060837,0.10088891377351376,0.03602612037060837,747652.0466231419,266976.832434172
-40.88607594936709,0.1200269395615143,0.04324537696988248,0.12002693956151429,0.04324537696988248,735963.5945610551,265165.66363496333
-40.063291139240505,0.1424232868937216,0.05184644617200259,0.1424232868937216,0.05184644617200259,722570.3265048556,263037.76830101927
-39.24050632911393,0.1685038569082148,0.06206818562298301,0.1685038569082148,0.06206818562298301,707343.6892226626,260549.16609910235
-38.41772151898734,0.19871038484840534,0.07418122552741824,0.19871038484840534,0.07418122552741824,690180.5570537774,257653.56750984263
-37.59493670886076,0.23348944683437023,0.08848886666614411,0.23348944683437023,0.08848886666614411,671012.9959138994,254303.48279849743
-36.77215189873418,0.2732789992529468,0.10532677563898608,0.2732789992529468,0.10532677563898608,649817.5745763906,250451.69980415015
-35.949367088607595,0.31849291474422636,0.1250610803082048,0.31849291474422636,0.1250610803082048,626623.2266649598,246053.12722848752
-35.12658227848101,0.3695042389364761,0.14808445421982314,0.3695042389364761,0.14808445421982314,601516.6555727811,241066.96556718566
-34.30379746835443,0.42662809047284067,0.17480980190143444,0.42662809047284067,0.17480980190143444,574644.4260478278,235459.12827692527
-33.48101265822785,0.49010522139463136,0.20566122984278087,0.49010522139463136,0.20566122984278087,546211.1980495364,229204.79489100364
-32.65822784810126,0.5600872229110895,0.24106212103380706,0.5600872229110895,0.2410621210338071,516473.9893850775,222290.94013759127
-31.835443037974684,0.6366242089714179,0.2814203295467274,0.6366242089714179,0.2814203295467274,485732.82985699817,214718.6536793451
-31.0126582278481,0.7196555726972153,0.32711077288702484,0.7196555726972153,0.32711077288702484,454318.6025797779,206505.04889420318
-30.189873417721518,0.809004145728555,0.37845600947714814,0.809004145728555,0.37845600947714814,422579.1772925342,197684.56066717027
-29.367088607594937,0.9043738596000728,0.4357057194108046,0.9043738596000728,0.4357057194108046,390865.07437602204,188309.45478551582
-28.544303797468352,1.005350858031719,0.49901631874940805,1.005350858031719,0.49901631874940805,359515.8459329975,178449.41647615674
-27.72151898734177,1.1114079550942222,0.5684321822872229,1.1114079550942222,0.5684321822872229,328848.1508142379,168190.1511966484
-26.89873417721519,1.2219123552359092,0.6438700755218056,1.2219123552359092,0.6438700755218056,299146.1915679947,157631.01185744104
-26.075949367088608,1.3361365961374823,0.7251083588691157,1.3361365961374823,0.7251083588691157,270654.8415754518,146881.75487602822
