Pt,Outage_wRIS_n1,Outage_wRIS_n2,Outage_wRIS_f,Outage_woRIS_n1,Outage_woRIS_n2,Outage_woRIS_f
-45.0,1.0,1.0,1.0,1.0,1.0,1.0
-44.177215189873415,1.0,1.0,1.0,1.0,1.0,1.0
-43.35443037974684,1.0,1.0,1.0,1.0,1.0,1.0
-42.53164556962025,1.0,1.0,1.0,1.0,1.0,1.0
-41.70886075949367,1.0,1.0,1.0,1.0,1.0,1.0
-40.88607594936709,1.0,1.0,1.0,1.0,1.0,1.0
-40.063291139240505,1.0,1.0,1.0,1.0,1.0,1.0
-39.24050632911393,1.0,0.9997,1.0,1.0,1.0,1.0
-38.41772151898734,1.0,0.9991,1.0,1.0,1.0,1.0
-37.59493670886076,1.0,0.9976,1.0,1.0,1.0,1.0
-36.77215189873418,1.0,0.9933,1.0,1.0,1.0,1.0
-35.949367088607595,1.0,0.9869,1.0,1.0,1.0,1.0
-35.12658227848101,1.0,0.9725,1.0,1.0,1.0,1.0
-34.30379746835443,1.0,0.9526,1.0,1.0,1.0,1.0
-33.48101265822785,0.9999,0.9265,1.0,1.0,0.9998,1.0
-32.65822784810126,0.9998,0.8942,1.0,1.0,0.9995,1.0
-31.835443037974684,0.9994,0.8606,1.0,0.9999,0.999,1.0
-31.0126582278481,0.9978,0.8202,1.0,0.9996,0.9964,1.0
-30.189873417721518,0.9955,0.7789,1.0,0.9988,0.9924,1.0
-29.367088607594937,0.9878,0.736,1.0,0.9968,0.9869,1.0
-28.544303797468352,0.9758,0.6971,1.0,0.9921,0.9757,1.0
-27.72151898734177,0.9578,0.6553,1.0,0.9826,0.964,1.0
-26.89873417721519,0.9337,0.6195,1.0,0.9678,0.95,1.0
-26.075949367088608,0.9022,0.586,1.0,0.9474,0.9331,1.0
-25.253164556962023,0.8691,0.5584,1.0,0.9219,0.9116,1.0
-24.430379746835442,0.8261,0.536,1.0,0.8917,0.8912,1.0
-23.60759493670886,0.7834,0.5151,1.0,0.8566,0.8727,1.0
-22.784810126582276,0.7385,0.496,1.0,0.8206,0.8538,1.0
-21.962025316455694,0.6919,0.4802,1.0,0.7785,0.8362,1.0
-21.139240506329113,0.6511,0.4666,1.0,0.7369,0.819,1.0
-20.31645569620253,0.6106,0.4554,1.0,0.6975,0.8036,1.0
-19.493670886075947,0.5754,0.4435,1.0,0.6621,0.7891,1.0
-18.670886075949365,0.5424,0.4367,1.0,0.6278,0.7746,1.0
-17.848101265822784,0.5166,0.4299,1.0,0.5952,0.7653,1.0
-17.0253164556962,0.4914,0.4242,1.0,0.5678,0.7575,1.0
-16.202531645569618,0.4715,0.4187,1.0,0.5475,0.751,1.0
-15.379746835443036,0.4534,0.4141,1.0,0.5262,0.7448,1.0
